junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,speed_limit,engine_capacity_(cc),vehicle_type,urban_or_rural_area,road_surface_conditions,time_range,accident_severity
3,4,8,63,7,30,1587,9,1,2,19,2
3,4,8,63,7,30,1587,9,1,2,19,2
3,6,8,30,7,30,1587,9,2,1,17,2
0,5,8,51,5,30,1587,1,1,1,13,2
0,4,5,16,1,30,49,2,2,1,19,2
0,4,9,37,6,30,1596,9,1,1,20,2
0,4,9,37,6,30,1596,9,1,1,20,2
0,4,9,37,6,30,1596,9,1,1,20,2
0,3,2,36,1,30,1598,9,1,1,13,2
3,4,11,44,4,30,125,3,1,2,17,2
3,3,2,22,5,30,1398,9,1,1,19,2
7,3,2,38,1,50,1242,9,2,1,12,2
7,3,2,38,1,50,1242,9,2,1,12,2
7,3,13,57,1,50,1461,9,2,1,12,2
3,3,6,27,4,30,124,3,1,1,16,2
0,5,9,30,1,30,2000,9,1,1,1,2
6,3,8,52,1,30,1587,1,1,1,8,2
6,3,8,37,6,30,1587,1,1,1,7,2
0,5,1,29,5,30,1242,9,1,1,17,2
0,6,8,45,4,30,1587,1,1,1,15,2
3,5,8,47,5,30,1587,1,1,1,7,2
0,3,3,48,1,30,1598,8,1,1,3,2
0,5,17,42,2,60,918,5,2,1,8,2
0,6,8,46,6,20,1587,1,1,1,17,2
3,6,1,36,3,30,1998,9,1,1,10,2
9,3,6,29,4,30,6700,11,1,1,17,2
0,5,8,30,4,30,1587,9,1,1,19,2
6,3,8,36,6,30,1587,1,1,1,17,2
0,5,12,21,5,60,1896,9,2,1,22,2
0,5,12,21,5,60,1896,9,2,1,22,2
3,5,7,29,5,30,1598,9,1,1,20,2
3,5,8,20,5,30,125,3,1,1,20,2
2,5,8,65,2,30,1968,9,1,1,10,2
1,3,10,29,4,50,1490,9,2,2,8,2
1,3,2,36,4,50,999,9,2,2,8,2
6,4,8,86,3,30,1242,9,1,1,10,2
0,4,8,22,1,30,998,9,1,1,12,2
3,4,10,43,6,30,1242,9,1,1,8,2
1,3,8,24,2,30,1587,1,1,1,16,2
6,3,1,30,6,30,278,3,1,1,12,2
3,4,9,54,2,40,1250,5,2,1,17,2
3,6,15,24,7,30,1796,9,1,1,14,2
3,3,8,58,5,30,782,5,1,2,7,2
8,3,8,43,4,30,1587,1,1,1,18,2
3,5,2,42,4,60,248,5,1,2,11,2
3,5,2,82,6,30,1968,9,1,1,19,2
0,5,14,57,5,30,1749,9,1,1,8,2
0,5,14,57,5,30,1749,9,1,1,8,2
0,5,15,22,3,30,1199,9,1,2,20,2
9,5,8,34,3,30,125,2,1,2,15,2
0,6,11,66,3,30,1242,9,1,2,17,2
3,6,8,48,1,30,1587,9,1,2,18,2
3,3,6,56,2,30,1242,9,1,1,10,2
3,4,7,32,5,30,124,3,1,2,15,2
2,4,5,68,7,30,1248,9,1,1,17,2
0,3,11,26,6,30,1998,9,1,1,19,2
3,6,2,51,5,30,1956,9,1,1,8,2
3,4,8,80,4,30,1587,9,1,1,14,2
6,3,8,48,6,30,1587,1,1,2,7,2
3,3,10,46,6,30,7300,11,1,2,23,2
1,3,8,28,6,30,1587,1,1,1,18,2
0,5,8,37,5,30,1587,8,1,1,22,2
0,6,8,37,4,30,1587,9,1,1,11,2
1,4,6,22,7,30,125,3,1,1,12,2
2,6,11,16,2,30,49,2,1,1,15,2
6,3,13,20,1,30,125,3,1,1,14,2
3,3,8,39,4,30,1587,1,1,1,12,2
6,4,8,37,4,30,1587,1,1,1,9,2
6,3,1,50,1,30,1170,5,1,2,21,2
0,3,1,60,6,30,2499,8,1,1,20,2
3,3,10,36,7,30,1896,8,1,1,20,2
0,3,8,37,6,30,1997,9,1,1,17,2
3,3,8,37,6,30,1587,1,1,1,17,2
6,3,7,18,6,30,124,3,1,1,23,2
3,4,8,33,2,30,1997,8,1,1,16,2
7,3,8,33,2,30,1587,3,1,1,7,2
7,3,8,33,2,30,1587,3,1,1,7,2
6,6,8,37,7,30,1587,8,1,1,23,2
3,3,1,37,4,30,1968,9,1,1,8,2
0,3,8,34,4,30,125,3,1,1,13,2
0,3,8,37,4,30,1587,1,1,1,13,2
6,4,8,37,5,30,1587,3,1,1,13,2
0,6,8,32,5,30,1995,9,1,1,10,2
6,4,2,23,5,30,599,5,1,1,17,2
3,3,5,18,4,30,124,3,1,1,13,2
6,5,8,25,3,30,1587,1,1,1,8,2
6,5,8,25,3,30,1587,1,1,1,8,2
3,5,5,44,4,30,249,4,1,1,16,2
3,6,5,72,5,30,1995,9,1,1,21,2
6,4,8,54,4,30,1587,8,1,1,9,2
3,3,8,61,6,30,2231,8,1,1,20,2
0,3,3,46,7,40,249,4,1,1,8,2
3,6,16,52,4,30,2664,8,1,1,10,2
0,3,8,35,5,30,1587,1,2,1,15,2
6,5,8,40,1,30,1598,9,1,1,17,2
3,3,8,54,2,30,1587,1,1,1,14,2
3,3,8,31,7,30,1170,5,1,1,17,2
3,6,8,37,6,30,1587,8,1,1,4,2
3,3,1,30,5,30,108,3,1,1,13,2
3,6,11,51,3,30,1896,9,1,1,17,2
3,3,8,43,4,30,471,5,1,1,18,2
3,5,8,41,3,30,1587,1,1,1,12,2
0,3,8,64,5,30,1587,1,1,1,17,2
3,3,5,47,2,30,1170,5,1,1,13,2
3,3,8,60,4,30,1587,1,1,2,15,2
0,3,14,55,6,30,2664,8,1,2,0,2
3,3,4,52,7,30,1388,8,1,1,2,2
3,6,8,36,1,30,2499,8,1,1,20,2
3,3,8,37,4,30,1587,19,1,1,16,2
0,3,8,40,6,30,125,3,1,1,3,2
2,4,2,46,6,30,4760,11,1,1,9,2
6,3,8,40,2,30,1587,5,1,1,0,2
3,3,8,37,7,30,1910,8,1,1,23,2
6,5,8,50,4,30,1587,1,1,1,18,2
3,3,8,49,2,30,1587,5,1,2,16,2
3,3,8,49,2,30,1587,5,1,2,16,2
6,5,2,57,5,30,4461,11,1,2,12,2
3,3,12,48,3,30,897,3,1,1,8,2
6,3,8,44,4,30,1587,1,1,1,7,2
0,3,8,59,3,50,1587,8,1,1,7,2
9,3,2,31,3,40,471,4,1,1,10,2
9,3,2,31,3,40,471,4,1,1,10,2
6,3,8,37,5,30,1587,11,1,1,17,2
0,3,3,70,6,30,6700,11,2,1,2,2
3,3,8,43,5,30,1587,1,1,1,10,2
3,3,7,56,5,30,124,3,1,1,18,2
0,3,11,45,2,30,7300,11,1,1,17,2
3,5,4,28,4,30,2143,19,1,1,9,2
3,5,8,36,7,30,1587,1,1,1,14,2
3,3,8,31,6,40,1587,1,1,1,21,2
3,5,4,40,5,30,9360,11,1,1,21,2
3,3,8,21,3,30,1587,1,1,1,8,2
3,3,8,21,6,30,1587,1,1,1,20,2
6,5,8,25,3,30,1587,1,1,1,8,2
6,5,8,42,2,30,1587,20,1,1,9,2
3,5,7,37,3,30,1582,9,1,1,23,2
3,5,8,32,6,30,1587,1,1,1,18,2
3,4,8,37,6,30,1587,1,1,1,9,2
3,3,8,48,5,30,1587,1,1,1,19,2
3,3,8,29,3,30,1587,3,1,1,21,2
0,3,8,29,5,30,1587,1,1,1,9,2
0,3,7,24,4,30,125,3,1,1,9,2
3,3,10,45,7,40,1896,9,1,1,13,2
9,5,7,28,4,30,1399,19,1,1,8,2
6,5,8,35,6,20,1587,1,1,1,8,2
1,3,13,60,7,20,124,3,1,1,9,2
7,5,5,30,1,20,1595,9,1,1,17,2
3,3,8,33,3,30,1587,1,1,1,12,2
3,3,8,25,4,30,1587,19,1,1,7,2
3,3,15,25,4,30,2664,8,1,1,7,2
0,6,8,33,5,30,1587,8,1,1,15,2
1,3,8,36,6,30,659,5,1,1,17,2
0,3,9,37,3,30,2402,19,1,1,7,2
3,5,5,38,4,30,1797,9,1,1,20,2
3,3,14,56,6,30,1998,19,1,1,11,2
0,3,2,30,4,30,4461,11,1,1,13,2
0,3,6,66,6,30,6700,11,1,1,14,2
6,3,1,34,2,30,883,5,1,1,7,2
0,3,8,37,4,30,1587,1,1,1,17,2
3,3,2,52,5,30,798,5,1,1,8,2
0,6,14,49,7,30,2664,8,1,1,13,2
6,6,8,37,7,30,1587,1,1,1,19,2
0,3,8,37,4,30,1587,5,1,1,3,2
3,3,8,31,6,30,1587,1,1,1,11,2
0,3,1,45,6,30,1598,19,1,1,12,2
0,3,5,48,7,30,6700,11,1,1,13,2
3,3,2,55,1,30,4760,11,1,1,20,2
0,4,8,37,1,30,1587,9,1,1,1,2
0,4,8,37,1,30,1587,9,1,1,1,2
0,4,8,37,1,30,1587,9,1,1,1,2
0,3,1,46,6,30,2198,19,1,1,8,2
7,3,1,19,6,30,108,2,1,1,12,2
6,3,7,37,3,30,645,5,1,1,7,2
3,6,8,44,3,30,1587,1,1,1,10,2
6,3,6,53,5,30,2499,8,1,1,18,2
3,3,8,30,5,30,1587,1,1,1,9,2
3,6,8,37,3,30,1587,9,1,1,9,2
3,4,22,81,3,30,1598,9,1,1,19,2
6,3,8,39,4,30,1587,1,1,1,8,2
6,3,8,39,4,30,1587,1,1,1,8,2
0,5,8,37,1,30,1587,8,1,2,3,2
6,3,2,43,5,30,670,5,1,2,14,2
8,3,3,26,5,30,125,3,1,1,11,2
3,3,8,32,4,30,1587,1,2,1,9,2
3,3,8,38,6,30,1587,1,1,1,15,2
3,3,8,38,5,30,1587,9,1,1,15,2
0,3,8,56,6,30,125,3,1,1,18,2
0,3,4,38,4,30,124,3,1,2,7,2
7,4,8,37,6,30,1587,9,1,1,9,2
0,3,8,28,7,30,4500,11,1,1,12,2
6,3,8,31,4,30,1587,1,1,1,17,2
6,5,15,35,5,30,599,4,1,1,17,2
6,5,15,35,5,30,599,4,1,1,17,2
0,3,8,42,3,30,1587,1,1,1,15,2
0,3,8,42,3,30,1587,1,1,1,15,2
0,3,10,22,5,30,645,5,1,1,8,2
3,3,8,33,4,30,1587,1,1,1,9,2
6,6,8,34,5,30,1587,1,1,1,18,2
6,3,8,26,7,30,1587,1,1,1,12,2
0,3,8,24,7,30,1587,1,1,1,11,2
6,5,2,31,2,30,109,3,1,2,14,2
3,3,8,37,6,30,1587,9,1,1,18,2
3,5,14,54,6,30,2664,8,1,1,12,2
3,3,8,39,2,30,1587,1,1,1,9,2
3,3,16,57,5,30,1171,5,1,1,19,2
3,3,8,37,4,30,1587,1,1,1,19,2
3,3,8,47,6,30,1587,1,1,1,7,2
3,6,8,29,3,30,1587,1,1,1,17,2
7,3,4,46,2,30,124,3,1,1,18,2
7,3,4,46,2,30,124,3,1,1,18,2
3,3,8,48,2,30,1587,1,1,1,8,2
3,3,4,30,3,30,125,3,1,1,12,2
3,3,4,30,3,30,125,3,1,1,12,2
6,4,2,37,4,30,1598,9,1,1,22,2
3,3,8,31,1,30,1587,1,2,1,22,2
0,3,9,36,6,30,8300,11,1,1,10,2
3,3,9,37,3,30,998,4,1,1,19,2
3,3,8,34,2,30,998,5,1,1,17,2
3,3,5,47,4,30,2499,8,1,1,22,2
3,5,8,37,6,30,1587,9,1,1,3,2
8,6,8,34,1,30,1587,1,1,1,12,2
3,3,8,37,3,30,1587,1,1,1,18,2
0,5,8,43,3,30,1587,1,1,1,13,2
3,3,8,22,5,30,1587,1,1,1,9,2
3,4,11,17,1,30,124,3,1,1,14,2
3,3,8,59,5,30,1587,1,1,1,8,2
0,4,6,29,1,30,49,2,1,1,18,2
6,5,2,46,3,30,3800,9,1,1,1,2
6,5,15,73,3,30,2979,9,1,1,12,2
3,3,8,37,2,30,1587,9,1,1,2,2
6,6,8,45,2,30,1587,3,1,1,10,2
1,3,8,39,1,30,1587,1,1,1,7,2
0,4,8,33,2,30,1587,5,1,1,0,2
0,4,13,30,2,30,1796,9,1,1,0,2
0,4,13,30,2,30,1796,9,1,1,0,2
3,3,8,44,5,30,1587,1,1,1,17,2
3,3,8,33,5,30,1587,1,1,1,17,2
0,3,8,56,2,30,1587,1,1,1,8,2
3,4,7,25,4,30,865,5,1,1,15,2
3,4,7,25,4,30,865,5,1,1,15,2
5,3,14,67,4,30,2664,8,1,1,15,2
3,5,8,23,1,30,1587,1,1,1,14,2
6,4,4,19,6,30,125,3,1,1,16,2
3,3,8,29,3,30,1170,5,1,1,9,2
6,3,8,27,5,30,1587,1,1,1,8,2
3,3,8,42,1,30,1587,1,1,1,18,2
6,3,1,33,4,30,1968,9,1,1,3,2
0,3,8,37,5,30,1587,9,1,1,10,2
0,3,8,46,4,30,1587,1,1,1,20,2
3,6,1,50,7,30,1587,9,1,1,6,2
3,6,8,32,4,30,1587,1,1,1,8,2
3,3,8,24,6,30,1587,9,1,1,22,2
0,3,18,78,1,30,1996,9,1,1,0,2
0,4,7,45,7,30,1497,9,1,1,16,2
0,5,8,19,1,30,1587,1,1,1,10,2
3,3,1,42,6,30,1461,9,1,1,8,2
