junction_detail,1st_road_class,age_of_vehicle,age_of_driver,day_of_week,time_range,speed_limit,engine_capacity_(cc),junction_detail,vehicle_type,urban_or_rural_area,road_surface_conditions,accident_severity
3,4,8,59,6,9-10,30,1587,3,9,1,1,2
3,4,10,62,5,20-21,30,1242,3,9,1,1,2
3,4,10,62,5,20-21,30,1242,3,9,1,1,2
3,3,1,39,3,18-19,30,1598,3,9,1,1,2
3,6,8,18,5,17-18,30,1587,3,1,1,1,2
6,3,6,44,7,0-1,30,2148,6,8,1,1,2
8,3,1,60,3,11-12,50,12809,8,21,2,1,2
6,3,8,30,6,22-23,30,1587,6,9,1,2,2
0,6,12,22,5,13-14,30,600,0,5,1,1,2
6,3,13,40,2,5-6,30,2494,6,9,1,1,2
6,3,13,40,2,5-6,30,2494,6,9,1,1,2
6,3,8,43,2,5-6,30,1587,6,8,1,1,2
6,3,8,28,1,14-15,30,1587,6,9,1,1,2
0,3,10,65,6,15-16,30,1991,0,9,1,2,2
0,3,8,46,1,0-1,30,1587,0,9,1,2,2
3,4,8,18,6,8-9,30,1587,3,3,1,1,2
3,3,4,24,7,0-1,30,124,3,3,1,1,2
6,4,12,38,4,9-10,30,1997,6,19,1,1,2
9,4,8,21,6,23-24,30,1587,9,1,1,1,2
0,3,8,76,5,15-16,30,1587,0,9,1,1,2
3,3,9,59,2,11-12,30,1868,3,19,1,1,2
0,5,4,44,7,18-19,30,1797,0,8,1,1,2
6,5,12,25,6,0-1,30,124,6,3,1,1,2
1,3,8,30,3,8-9,30,1587,1,9,1,1,2
3,3,3,22,3,18-19,30,124,3,3,1,1,2
3,3,6,31,3,18-19,30,1598,3,9,1,1,2
3,3,8,19,5,15-16,30,1587,3,1,1,1,2
6,3,16,26,6,19-20,30,1797,6,9,1,1,2
6,3,4,21,6,19-20,30,1242,6,9,1,1,2
6,3,4,21,6,19-20,30,1242,6,9,1,1,2
6,3,4,40,6,19-20,30,1461,6,9,1,1,2
6,3,4,40,6,19-20,30,1461,6,9,1,1,2
0,3,13,28,1,0-1,30,1781,0,9,1,1,2
0,3,1,67,1,0-1,30,1997,0,8,1,1,2
3,5,6,44,6,15-16,30,1598,3,9,1,1,2
3,3,10,22,3,19-20,30,644,3,4,1,1,2
3,3,8,11,4,15-16,30,1587,3,1,1,2,2
0,3,8,80,3,12-13,30,1598,0,9,1,1,2
0,5,8,37,3,17-18,30,1587,0,9,1,1,2
3,5,8,22,5,15-16,30,1587,3,5,1,1,2
7,3,1,37,3,21-22,40,12419,7,21,1,2,2
0,5,8,50,3,7-8,20,1386,0,9,1,2,2
3,4,8,23,7,17-18,30,1587,3,1,1,1,2
0,3,12,28,3,22-23,40,1360,0,9,2,2,2
0,3,8,32,3,22-23,40,1198,0,9,2,2,2
0,6,7,28,1,15-16,20,1339,0,9,1,1,2
1,1,8,30,5,15-16,40,1587,1,11,1,1,2
1,1,8,30,5,15-16,40,1587,1,11,1,1,2
6,3,14,55,5,17-18,30,1988,6,9,1,1,2
8,6,8,64,6,17-18,20,1499,8,9,1,2,2
3,3,2,38,2,19-20,30,124,3,3,1,1,2
3,3,8,21,7,13-14,30,1587,3,9,1,2,2
3,3,8,21,1,14-15,30,1587,3,9,1,1,2
3,6,12,30,4,19-20,20,1598,3,9,1,1,2
3,6,8,15,5,13-14,20,1587,3,1,1,2,2
0,3,3,74,6,18-19,30,1591,0,9,1,1,2
0,4,8,57,7,19-20,30,1595,0,9,1,2,2
0,3,8,21,5,20-21,30,1587,0,9,1,2,2
3,3,1,47,2,8-9,30,1248,3,9,1,2,2
3,3,6,23,7,23-24,30,125,3,3,1,2,2
7,3,3,57,4,16-17,30,1596,7,9,1,1,2
3,4,16,50,4,15-16,30,650,3,5,1,1,2
3,4,16,19,3,16-17,30,599,3,5,1,1,2
3,4,16,19,3,16-17,30,599,3,5,1,1,2
3,4,6,19,3,16-17,30,1390,3,9,1,1,2
3,3,13,41,4,10-11,30,1998,3,9,1,2,2
3,3,16,85,6,9-10,30,1332,3,9,1,1,2
0,3,8,47,6,13-14,40,1587,0,1,1,1,2
0,6,15,19,4,19-20,20,973,0,9,1,1,2
0,6,15,19,4,19-20,20,973,0,9,1,1,2
3,5,3,22,7,20-21,30,1956,3,9,1,1,2
3,5,3,22,7,20-21,30,1956,3,9,1,1,2
0,6,8,41,1,14-15,20,1587,0,9,1,1,2
3,4,8,32,4,16-17,30,1587,3,1,1,1,2
6,3,8,36,1,18-19,30,1595,6,9,1,1,2
3,3,3,60,1,15-16,30,1242,3,9,1,1,2
0,3,8,38,4,11-12,30,998,0,9,1,1,2
0,3,8,38,4,11-12,30,998,0,9,1,1,2
0,3,14,20,7,22-23,30,1199,0,9,1,1,2
0,3,14,20,7,22-23,30,1199,0,9,1,1,2
3,3,10,55,6,18-19,30,1250,3,5,1,1,2
3,3,10,55,6,18-19,30,1250,3,5,1,1,2
8,6,8,61,5,15-16,30,1587,8,4,1,1,2
3,5,6,52,1,18-19,30,1598,3,9,1,1,2
3,4,8,42,1,16-17,30,1587,3,9,1,1,2
3,5,8,37,5,19-20,30,1587,3,9,1,1,2
8,6,14,30,6,21-22,30,998,8,9,1,2,2
3,5,11,40,5,19-20,30,1995,3,9,1,1,2
0,6,12,19,2,19-20,20,1299,0,9,1,1,2
3,5,16,34,3,15-16,30,1242,3,9,1,1,2
3,4,8,50,7,17-18,30,1587,3,1,1,1,2
3,3,4,28,2,14-15,40,125,3,3,2,1,2
9,5,8,28,6,13-14,30,1587,9,1,1,1,2
3,3,3,17,4,14-15,30,1242,3,9,1,1,2
3,3,4,50,5,18-19,30,125,3,3,1,1,2
0,6,1,72,2,7-8,30,1598,0,9,1,2,2
0,6,2,51,2,7-8,30,2987,0,9,1,2,2
6,6,8,30,4,15-16,20,1587,6,9,1,1,2
0,6,14,27,7,8-9,30,600,0,5,1,1,2
0,3,8,30,5,7-8,30,1796,0,9,1,2,2
6,3,8,50,7,18-19,40,1595,6,9,1,1,2
6,3,8,50,7,18-19,40,1595,6,9,1,1,2
6,3,8,50,7,18-19,40,1595,6,9,1,1,2
3,6,7,58,4,15-16,30,1598,3,9,1,2,2
6,3,8,30,6,23-24,30,1587,6,9,1,1,2
1,3,8,28,3,18-19,30,1587,1,1,1,1,2
3,4,5,38,3,13-14,30,1600,3,9,1,1,2
3,4,8,81,3,10-11,30,1587,3,9,1,1,2
6,5,10,55,7,20-21,30,1998,6,9,1,1,2
3,6,8,37,5,15-16,30,1587,3,9,1,2,2
6,5,5,30,6,20-21,30,1329,6,9,1,1,2
6,5,5,30,6,20-21,30,1329,6,9,1,1,2
0,3,12,62,6,16-17,30,1783,0,9,1,1,2
3,4,17,70,3,17-18,30,998,3,9,1,1,2
3,5,8,30,2,9-10,30,1587,3,1,1,1,2
6,3,6,48,4,15-16,30,998,6,5,1,1,2
0,3,13,18,1,5-6,40,1124,0,9,2,2,2
3,4,8,33,4,12-13,30,1587,3,5,1,2,2
3,3,8,62,2,17-18,30,1587,3,1,1,1,2
3,3,4,36,5,8-9,30,1329,3,9,1,1,2
3,3,4,36,5,8-9,30,1329,3,9,1,1,2
0,3,14,25,4,8-9,40,998,0,9,1,2,2
0,3,3,64,1,14-15,30,123,0,3,1,1,2
3,5,8,21,5,14-15,30,1587,3,2,1,1,2
8,3,11,30,6,16-17,40,1339,8,9,1,1,2
8,3,12,18,6,16-17,40,1587,8,9,1,1,2
3,4,8,30,3,12-13,30,1587,3,9,1,1,2
0,3,8,37,7,2-3,30,1587,0,9,1,1,2
6,3,8,47,3,20-21,30,1587,6,1,1,1,2
6,3,1,44,5,20-21,30,999,6,5,1,1,2
3,4,10,25,3,9-10,30,1598,3,9,1,1,2
3,4,8,40,3,9-10,30,1596,3,9,1,1,2
0,6,8,50,4,7-8,30,49,0,2,1,1,2
6,3,2,27,6,19-20,30,124,6,3,1,1,2
1,3,8,23,4,6-7,40,125,1,4,2,1,2
3,3,5,40,3,16-17,30,1461,3,9,1,1,2
3,3,5,40,3,16-17,30,1461,3,9,1,1,2
3,5,8,24,1,14-15,30,1587,3,1,1,1,2
3,3,8,21,7,14-15,40,1587,3,5,1,1,2
6,3,8,37,5,20-21,30,1587,6,9,1,2,2
3,6,1,33,5,3-4,30,1956,3,8,1,1,2
3,3,1,28,3,20-21,30,1995,3,9,1,1,2
3,3,3,30,7,2-3,30,1686,3,9,1,2,2
1,3,8,35,5,6-7,40,1587,1,1,2,2,2
0,4,8,37,2,23-24,30,1587,0,9,1,1,2
3,3,12,28,3,14-15,30,998,3,9,1,1,2
6,6,8,43,7,13-14,30,1587,6,5,1,1,2
3,3,8,64,3,9-10,40,1587,3,1,1,1,2
3,6,3,54,4,11-12,30,1248,3,9,1,1,2
0,3,8,76,5,11-12,40,1799,0,9,1,1,2
0,3,8,76,5,11-12,40,1799,0,9,1,1,2
3,3,24,50,5,12-13,30,592,3,5,1,1,2
3,5,12,53,6,14-15,30,1598,3,9,1,1,2
0,4,8,61,3,15-16,30,1587,0,1,1,1,2
6,6,8,47,4,18-19,30,1587,6,1,1,2,2
3,4,7,28,2,7-8,30,124,3,3,1,1,2
0,3,10,20,5,23-24,60,1229,0,9,2,1,2
0,3,10,20,5,23-24,60,1229,0,9,2,1,2
0,3,10,20,5,23-24,60,1229,0,9,2,1,2
0,3,10,20,5,23-24,60,1229,0,9,2,1,2
8,6,11,23,3,12-13,30,124,8,3,1,1,2
0,6,3,40,6,5-6,30,1995,0,19,1,2,2
6,3,1,44,6,6-7,30,1043,6,5,1,2,2
0,4,2,20,5,17-18,30,124,0,3,1,2,2
0,4,2,20,5,17-18,30,124,0,3,1,2,2
0,3,6,46,6,1-2,30,1999,0,9,1,2,2
0,3,8,32,2,20-21,30,1587,0,8,1,2,2
2,5,10,29,2,21-22,30,1896,2,9,1,2,2
0,6,8,35,6,9-10,30,1587,0,9,1,2,2
3,5,1,61,3,16-17,30,1364,3,9,1,2,2
3,3,8,21,6,22-23,40,1995,3,9,1,2,2
3,3,8,21,6,22-23,40,1995,3,9,1,2,2
3,3,8,21,6,22-23,40,1995,3,9,1,2,2
0,6,13,30,2,11-12,30,1896,0,9,1,1,2
3,6,8,42,5,10-11,30,1587,3,1,1,1,2
3,3,5,40,6,17-18,30,1229,3,9,1,2,2
3,3,5,40,6,17-18,30,1229,3,9,1,2,2
6,4,8,56,1,17-18,30,1910,6,9,1,2,2
6,4,5,19,1,17-18,30,124,6,3,1,2,2
6,4,8,32,1,6-7,30,1587,6,1,1,4,2
0,6,2,52,2,15-16,30,1997,0,9,1,1,2
3,5,8,24,2,15-16,30,1984,3,9,1,1,2
3,5,13,24,2,15-16,30,1598,3,9,1,1,2
3,5,5,66,2,15-16,30,1598,3,9,1,1,2
3,5,5,66,2,15-16,30,1598,3,9,1,1,2
0,3,13,41,4,16-17,30,1794,0,9,1,1,2
3,4,15,32,3,20-21,30,1998,3,9,1,2,2
3,6,8,86,3,16-17,30,1587,3,1,1,1,2
0,5,7,46,3,19-20,30,1995,0,19,1,1,2
3,4,12,31,3,8-9,30,955,3,4,1,1,2
6,5,11,21,3,11-12,30,1598,6,9,1,2,2
6,5,11,21,3,11-12,30,1598,6,9,1,2,2
6,5,12,20,3,11-12,30,2792,6,9,1,2,2
6,5,12,20,3,11-12,30,2792,6,9,1,2,2
6,5,12,20,3,11-12,30,2792,6,9,1,2,2
6,5,6,37,3,11-12,30,2198,6,19,1,2,2
6,3,10,58,6,20-21,30,3498,6,9,1,1,2
6,3,8,76,6,20-21,30,1995,6,9,1,1,2
6,3,8,76,6,20-21,30,1995,6,9,1,1,2
6,3,8,76,6,20-21,30,1995,6,9,1,1,2
6,3,8,76,6,20-21,30,1995,6,9,1,1,2
6,3,3,76,7,23-24,50,1332,6,9,1,1,2
0,3,19,37,1,14-15,40,749,0,5,2,1,2
3,3,12,54,1,20-21,30,899,3,5,1,1,2
8,3,7,40,6,19-20,30,645,8,5,1,1,2
0,5,13,32,4,9-10,60,1596,0,9,2,2,2
3,4,8,51,5,15-16,40,1587,3,5,2,1,2
0,6,8,20,7,20-21,30,1242,0,9,1,1,2
3,5,3,16,7,21-22,30,49,3,2,1,1,2
3,5,3,16,7,21-22,30,49,3,2,1,1,2
0,3,7,20,3,5-6,30,1248,0,9,2,2,2
0,3,7,20,3,5-6,30,1248,0,9,2,2,2
3,4,18,50,3,13-14,30,748,3,5,1,1,2
0,3,8,37,7,12-13,30,1587,0,5,1,1,2
1,3,4,82,7,23-24,30,998,1,9,1,1,2
0,3,9,31,1,0-1,30,1242,0,9,2,1,2
0,3,9,31,1,0-1,30,1242,0,9,2,1,2
0,3,23,30,7,3-4,30,1997,0,9,1,1,2
0,3,23,30,7,3-4,30,1997,0,9,1,1,2
6,3,8,48,4,23-24,40,1587,6,1,1,1,2
0,3,8,29,3,18-19,30,1587,0,3,1,1,2
0,5,13,18,1,8-9,60,1149,0,9,2,2,2
1,3,8,65,3,9-10,30,1587,1,1,1,1,2
3,3,8,17,6,16-17,30,1587,3,3,1,1,2
6,5,7,35,5,9-10,30,1596,6,9,1,1,2
6,5,8,12,3,15-16,30,1587,6,1,1,1,2
3,5,7,59,3,18-19,30,124,3,3,1,1,2
0,4,8,36,6,8-9,30,1499,0,9,1,1,2
1,3,8,30,6,6-7,60,1587,1,1,2,2,2
2,3,8,40,5,7-8,30,1587,2,1,1,2,2
3,3,5,46,2,17-18,30,1995,3,19,1,1,2
0,4,8,30,5,13-14,30,1587,0,3,1,2,2
2,5,8,29,3,18-19,30,1587,2,1,1,2,2
6,6,4,32,4,20-21,30,1968,6,9,1,2,2
3,6,8,24,5,11-12,30,125,3,3,1,2,2
3,3,8,30,6,18-19,30,1587,3,9,1,2,2
6,6,8,57,7,17-18,20,1332,6,9,1,2,2
1,3,8,39,5,21-22,30,1587,1,9,1,2,2
1,3,8,39,5,21-22,30,1587,1,9,1,2,2
8,6,6,47,5,17-18,30,1596,8,9,1,1,2
3,3,1,25,4,8-9,30,125,3,3,1,1,2
0,5,13,74,2,10-11,30,1299,0,9,1,2,2
3,4,8,60,3,8-9,30,1587,3,9,1,1,2
3,4,6,29,3,8-9,30,1206,3,9,1,1,2
3,4,8,42,3,8-9,30,1587,3,9,1,1,2
0,4,14,21,3,17-18,30,1242,0,9,2,2,2
3,3,10,36,6,18-19,30,100,3,3,1,1,2
8,3,6,51,6,13-14,30,1995,8,9,1,1,2
8,3,10,28,6,13-14,30,1364,8,9,1,1,2
0,6,6,18,3,13-14,30,998,0,9,1,2,2
7,6,1,16,5,18-19,30,50,7,2,1,2,2
3,6,9,59,4,17-18,30,1086,3,9,1,2,2
0,3,8,17,4,10-11,30,1587,0,9,1,2,2
0,3,8,17,4,10-11,30,1587,0,9,1,2,2
2,3,18,39,7,19-20,30,498,2,4,1,2,2
0,3,1,33,2,7-8,30,1198,0,9,1,2,2
3,3,8,42,6,7-8,30,1587,3,1,1,1,2
3,4,8,31,7,23-24,30,4197,3,9,2,1,2
3,3,13,44,4,15-16,30,1598,3,9,1,1,2
3,4,8,45,4,17-18,30,1587,3,1,1,2,2
8,4,2,44,7,13-14,30,124,8,3,1,1,2
8,3,8,30,6,12-13,30,1587,8,5,1,1,2
3,4,8,63,7,19-20,30,1587,3,9,1,2,2
3,4,8,63,7,19-20,30,1587,3,9,1,2,2
3,6,8,30,7,17-18,30,1587,3,9,2,1,2
0,5,8,51,5,13-14,30,1587,0,1,1,1,2
0,4,5,16,1,19-20,30,49,0,2,2,1,2
0,4,9,37,6,20-21,30,1596,0,9,1,1,2
0,4,9,37,6,20-21,30,1596,0,9,1,1,2
0,4,9,37,6,20-21,30,1596,0,9,1,1,2
0,3,2,36,1,13-14,30,1598,0,9,1,1,2
3,4,11,44,4,17-18,30,125,3,3,1,2,2
3,3,2,22,5,19-20,30,1398,3,9,1,1,2
7,3,2,38,1,12-13,50,1242,7,9,2,1,2
7,3,2,38,1,12-13,50,1242,7,9,2,1,2
7,3,13,57,1,12-13,50,1461,7,9,2,1,2
3,3,6,27,4,16-17,30,124,3,3,1,1,2
0,5,9,30,1,1-2,30,2000,0,9,1,1,2
6,3,8,52,1,8-9,30,1587,6,1,1,1,2
6,3,8,37,6,7-8,30,1587,6,1,1,1,2
0,5,1,29,5,17-18,30,1242,0,9,1,1,2
0,6,8,45,4,15-16,30,1587,0,1,1,1,2
3,5,8,47,5,7-8,30,1587,3,1,1,1,2
0,3,3,48,1,3-4,30,1598,0,8,1,1,2
0,5,17,42,2,8-9,60,918,0,5,2,1,2
0,6,8,46,6,17-18,20,1587,0,1,1,1,2
3,6,1,36,3,10-11,30,1998,3,9,1,1,2
9,3,6,29,4,17-18,30,6700,9,11,1,1,2
0,5,8,30,4,19-20,30,1587,0,9,1,1,2
6,3,8,36,6,17-18,30,1587,6,1,1,1,2
0,5,12,21,5,22-23,60,1896,0,9,2,1,2
0,5,12,21,5,22-23,60,1896,0,9,2,1,2
3,5,7,29,5,20-21,30,1598,3,9,1,1,2
3,5,8,20,5,20-21,30,125,3,3,1,1,2
2,5,8,65,2,10-11,30,1968,2,9,1,1,2
1,3,10,29,4,8-9,50,1490,1,9,2,2,2
1,3,2,36,4,8-9,50,999,1,9,2,2,2
6,4,8,86,3,10-11,30,1242,6,9,1,1,2
0,4,8,22,1,12-13,30,998,0,9,1,1,2
3,4,10,43,6,8-9,30,1242,3,9,1,1,2
1,3,8,24,2,16-17,30,1587,1,1,1,1,2
6,3,1,30,6,12-13,30,278,6,3,1,1,2
3,4,9,54,2,17-18,40,1250,3,5,2,1,2
3,6,15,24,7,14-15,30,1796,3,9,1,1,2
3,3,8,58,5,7-8,30,782,3,5,1,2,2
8,3,8,43,4,18-19,30,1587,8,1,1,1,2
3,5,2,42,4,11-12,60,248,3,5,1,2,2
3,5,2,82,6,19-20,30,1968,3,9,1,1,2
0,5,14,57,5,8-9,30,1749,0,9,1,1,2
0,5,14,57,5,8-9,30,1749,0,9,1,1,2
0,5,15,22,3,20-21,30,1199,0,9,1,2,2
9,5,8,34,3,15-16,30,125,9,2,1,2,2
0,6,11,66,3,17-18,30,1242,0,9,1,2,2
3,6,8,48,1,18-19,30,1587,3,9,1,2,2
3,3,6,56,2,10-11,30,1242,3,9,1,1,2
3,4,7,32,5,15-16,30,124,3,3,1,2,2
2,4,5,68,7,17-18,30,1248,2,9,1,1,2
0,3,11,26,6,19-20,30,1998,0,9,1,1,2
3,6,2,51,5,8-9,30,1956,3,9,1,1,2
3,4,8,80,4,14-15,30,1587,3,9,1,1,2
6,3,8,48,6,7-8,30,1587,6,1,1,2,2
3,3,10,46,6,23-24,30,7300,3,11,1,2,2
1,3,8,28,6,18-19,30,1587,1,1,1,1,2
0,5,8,37,5,22-23,30,1587,0,8,1,1,2
0,6,8,37,4,11-12,30,1587,0,9,1,1,2
1,4,6,22,7,12-13,30,125,1,3,1,1,2
2,6,11,16,2,15-16,30,49,2,2,1,1,2
6,3,13,20,1,14-15,30,125,6,3,1,1,2
3,3,8,39,4,12-13,30,1587,3,1,1,1,2
6,4,8,37,4,9-10,30,1587,6,1,1,1,2
6,3,1,50,1,21-22,30,1170,6,5,1,2,2
0,3,1,60,6,20-21,30,2499,0,8,1,1,2
3,3,10,36,7,20-21,30,1896,3,8,1,1,2
0,3,8,37,6,17-18,30,1997,0,9,1,1,2
3,3,8,37,6,17-18,30,1587,3,1,1,1,2
6,3,7,18,6,23-24,30,124,6,3,1,1,2
3,4,8,33,2,16-17,30,1997,3,8,1,1,2
7,3,8,33,2,7-8,30,1587,7,3,1,1,2
7,3,8,33,2,7-8,30,1587,7,3,1,1,2
6,6,8,37,7,23-24,30,1587,6,8,1,1,2
3,3,1,37,4,8-9,30,1968,3,9,1,1,2
0,3,8,34,4,13-14,30,125,0,3,1,1,2
0,3,8,37,4,13-14,30,1587,0,1,1,1,2
6,4,8,37,5,13-14,30,1587,6,3,1,1,2
0,6,8,32,5,10-11,30,1995,0,9,1,1,2
6,4,2,23,5,17-18,30,599,6,5,1,1,2
3,3,5,18,4,13-14,30,124,3,3,1,1,2
6,5,8,25,3,8-9,30,1587,6,1,1,1,2
6,5,8,25,3,8-9,30,1587,6,1,1,1,2
3,5,5,44,4,16-17,30,249,3,4,1,1,2
3,6,5,72,5,21-22,30,1995,3,9,1,1,2
6,4,8,54,4,9-10,30,1587,6,8,1,1,2
3,3,8,61,6,20-21,30,2231,3,8,1,1,2
0,3,3,46,7,8-9,40,249,0,4,1,1,2
3,6,16,52,4,10-11,30,2664,3,8,1,1,2
0,3,8,35,5,15-16,30,1587,0,1,2,1,2
6,5,8,40,1,17-18,30,1598,6,9,1,1,2
3,3,8,54,2,14-15,30,1587,3,1,1,1,2
3,3,8,31,7,17-18,30,1170,3,5,1,1,2
3,6,8,37,6,4-5,30,1587,3,8,1,1,2
3,3,1,30,5,13-14,30,108,3,3,1,1,2
3,6,11,51,3,17-18,30,1896,3,9,1,1,2
3,3,8,43,4,18-19,30,471,3,5,1,1,2
3,5,8,41,3,12-13,30,1587,3,1,1,1,2
0,3,8,64,5,17-18,30,1587,0,1,1,1,2
3,3,5,47,2,13-14,30,1170,3,5,1,1,2
3,3,8,60,4,15-16,30,1587,3,1,1,2,2
0,3,14,55,6,0-1,30,2664,0,8,1,2,2
3,3,4,52,7,2-3,30,1388,3,8,1,1,2
3,6,8,36,1,20-21,30,2499,3,8,1,1,2
3,3,8,37,4,16-17,30,1587,3,19,1,1,2
0,3,8,40,6,3-4,30,125,0,3,1,1,2
2,4,2,46,6,9-10,30,4760,2,11,1,1,2
6,3,8,40,2,0-1,30,1587,6,5,1,1,2
3,3,8,37,7,23-24,30,1910,3,8,1,1,2
6,5,8,50,4,18-19,30,1587,6,1,1,1,2
3,3,8,49,2,16-17,30,1587,3,5,1,2,2
3,3,8,49,2,16-17,30,1587,3,5,1,2,2
6,5,2,57,5,12-13,30,4461,6,11,1,2,2
3,3,12,48,3,8-9,30,897,3,3,1,1,2
6,3,8,44,4,7-8,30,1587,6,1,1,1,2
0,3,8,59,3,7-8,50,1587,0,8,1,1,2
9,3,2,31,3,10-11,40,471,9,4,1,1,2
9,3,2,31,3,10-11,40,471,9,4,1,1,2
6,3,8,37,5,17-18,30,1587,6,11,1,1,2
0,3,3,70,6,2-3,30,6700,0,11,2,1,2
3,3,8,43,5,10-11,30,1587,3,1,1,1,2
3,3,7,56,5,18-19,30,124,3,3,1,1,2
0,3,11,45,2,17-18,30,7300,0,11,1,1,2
3,5,4,28,4,9-10,30,2143,3,19,1,1,2
3,5,8,36,7,14-15,30,1587,3,1,1,1,2
3,3,8,31,6,21-22,40,1587,3,1,1,1,2
3,5,4,40,5,21-22,30,9360,3,11,1,1,2
3,3,8,21,3,8-9,30,1587,3,1,1,1,2
3,3,8,21,6,20-21,30,1587,3,1,1,1,2
6,5,8,25,3,8-9,30,1587,6,1,1,1,2
6,5,8,42,2,9-10,30,1587,6,20,1,1,2
3,5,7,37,3,23-24,30,1582,3,9,1,1,2
3,5,8,32,6,18-19,30,1587,3,1,1,1,2
3,4,8,37,6,9-10,30,1587,3,1,1,1,2
3,3,8,48,5,19-20,30,1587,3,1,1,1,2
3,3,8,29,3,21-22,30,1587,3,3,1,1,2
0,3,8,29,5,9-10,30,1587,0,1,1,1,2
0,3,7,24,4,9-10,30,125,0,3,1,1,2
3,3,10,45,7,13-14,40,1896,3,9,1,1,2
9,5,7,28,4,8-9,30,1399,9,19,1,1,2
6,5,8,35,6,8-9,20,1587,6,1,1,1,2
1,3,13,60,7,9-10,20,124,1,3,1,1,2
7,5,5,30,1,17-18,20,1595,7,9,1,1,2
3,3,8,33,3,12-13,30,1587,3,1,1,1,2
3,3,8,25,4,7-8,30,1587,3,19,1,1,2
3,3,15,25,4,7-8,30,2664,3,8,1,1,2
0,6,8,33,5,15-16,30,1587,0,8,1,1,2
1,3,8,36,6,17-18,30,659,1,5,1,1,2
0,3,9,37,3,7-8,30,2402,0,19,1,1,2
3,5,5,38,4,20-21,30,1797,3,9,1,1,2
3,3,14,56,6,11-12,30,1998,3,19,1,1,2
0,3,2,30,4,13-14,30,4461,0,11,1,1,2
0,3,6,66,6,14-15,30,6700,0,11,1,1,2
6,3,1,34,2,7-8,30,883,6,5,1,1,2
0,3,8,37,4,17-18,30,1587,0,1,1,1,2
3,3,2,52,5,8-9,30,798,3,5,1,1,2
0,6,14,49,7,13-14,30,2664,0,8,1,1,2
6,6,8,37,7,19-20,30,1587,6,1,1,1,2
0,3,8,37,4,3-4,30,1587,0,5,1,1,2
3,3,8,31,6,11-12,30,1587,3,1,1,1,2
0,3,1,45,6,12-13,30,1598,0,19,1,1,2
0,3,5,48,7,13-14,30,6700,0,11,1,1,2
3,3,2,55,1,20-21,30,4760,3,11,1,1,2
0,4,8,37,1,1-2,30,1587,0,9,1,1,2
0,4,8,37,1,1-2,30,1587,0,9,1,1,2
0,4,8,37,1,1-2,30,1587,0,9,1,1,2
0,3,1,46,6,8-9,30,2198,0,19,1,1,2
7,3,1,19,6,12-13,30,108,7,2,1,1,2
6,3,7,37,3,7-8,30,645,6,5,1,1,2
3,6,8,44,3,10-11,30,1587,3,1,1,1,2
6,3,6,53,5,18-19,30,2499,6,8,1,1,2
3,3,8,30,5,9-10,30,1587,3,1,1,1,2
3,6,8,37,3,9-10,30,1587,3,9,1,1,2
3,4,22,81,3,19-20,30,1598,3,9,1,1,2
